City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,labrador city,52.9463,-66.9114,15.92,70,100,2.09,CA,1691788240
1,udachny,66.4167,112.4,16.36,72,100,2.33,RU,1691788240
2,grytviken,-54.2811,-36.5092,5.13,86,100,5.99,GS,1691788240
3,nuuk,64.1835,-51.7216,7.34,93,20,4.12,GL,1691788240
4,invercargill,-46.4,168.35,4.45,91,100,0.45,NZ,1691788241
5,albany,42.6001,-73.9662,26.36,52,28,0.89,US,1691788154
6,georgetown,5.4112,100.3354,26.08,92,20,0.51,MY,1691787980
7,lebu,-37.6167,-73.65,10.02,67,24,4.12,CL,1691788241
8,san ignacio,17.1561,-89.0714,36.08,52,20,2.06,BZ,1691788241
9,isabela,6.7085,121.9711,25.03,85,50,0.17,PH,1691788241
10,edinburgh of the seven seas,-37.0676,-12.3116,8.77,57,72,10.74,SH,1691788242
11,colonia,50.9333,6.95,24.34,73,0,1.54,DE,1691787946
12,port elizabeth,-33.918,25.5701,19.9,38,2,3.39,ZA,1691788242
13,zaozersk,69.4005,32.4476,15.72,70,81,1.84,RU,1691788242
14,chonchi,-42.6128,-73.8092,8.4,68,100,1.09,CL,1691788242
15,adamstown,-25.066,-130.1015,18.67,51,11,8.68,PN,1691788078
16,dieppe,49.75,1.1667,20.11,94,100,0.45,FR,1691788243
17,alappuzha,9.49,76.3264,25.6,88,100,3.17,IN,1691788243
18,vadso,70.0744,29.7487,19.49,77,40,2.06,NO,1691788243
19,thompson,55.7435,-97.8558,20.66,35,100,2.11,CA,1691788243
20,marquette,46.5333,-87.6335,18.47,96,100,0.89,US,1691788243
21,woolgoolga,-30.1106,153.2007,8.91,80,3,2.92,AU,1691788243
22,freetown,8.484,-13.2299,24.93,86,100,4.99,SL,1691788244
23,port-aux-francais,-49.35,70.2167,2.87,85,54,16.9,TF,1691788244
24,kyabe,9.4515,18.9449,23.77,91,100,0.37,TD,1691788244
25,naze,28.3667,129.4833,24.55,86,11,1.4,JP,1691788244
26,uturoa,-16.7333,-151.4333,24.98,70,98,8.5,PF,1691788244
27,tarawa,1.419,172.984,29.05,79,20,1.54,KI,1691788244
28,saint-francois,46.4154,3.9054,24.69,65,0,1.54,FR,1691788245
29,canacona,14.9959,74.0506,25.42,87,21,2.29,IN,1691788245
30,jutai,-5.1833,-68.9,28.89,65,99,0.36,BR,1691788245
31,college,64.8569,-147.8028,21.71,63,75,0.0,US,1691788210
32,tura,25.5198,90.2201,23.86,98,100,2.35,IN,1691788245
33,vilyuchinsk,52.9306,158.4028,12.92,73,12,2.35,RU,1691788245
34,anadyr,64.75,177.4833,9.28,93,100,2.0,RU,1691788246
35,whitehorse,60.7161,-135.0538,17.95,51,96,5.81,CA,1691788110
36,zhangjiakou,40.81,114.8794,19.87,75,2,1.28,CN,1691788246
37,as sulayyil,20.4607,45.5779,34.87,12,98,4.27,SA,1691788246
38,tilcara,-23.5776,-65.3509,12.18,32,100,2.8,AR,1691788246
39,iqaluit,63.7506,-68.5145,6.5,87,100,2.24,CA,1691788246
40,st. john's,47.5649,-52.7093,19.88,89,99,1.79,CA,1691788063
41,jijiga,9.35,42.8,19.78,64,68,7.46,ET,1691788247
42,waitangi,-43.9535,-176.5597,12.12,95,99,1.79,NZ,1691788247
43,soto la marina,23.7667,-98.2167,39.06,36,0,9.28,MX,1691788247
44,ad dilam,23.9915,47.1627,34.91,16,49,3.27,SA,1691788247
45,jamestown,42.097,-79.2353,25.85,54,75,3.6,US,1691788203
46,yellowknife,62.456,-114.3525,13.94,84,100,4.16,CA,1691788180
47,ushuaia,-54.8,-68.3,-1.03,88,50,1.88,AR,1691788247
48,verkhnevilyuysk,63.4453,120.3167,17.43,76,100,2.86,RU,1691788248
49,puerto natales,-51.7236,-72.4875,2.18,77,4,3.06,CL,1691788248
50,ribeira grande,38.5167,-28.7,23.76,85,29,3.58,PT,1691788248
51,olonkinbyen,70.9221,-8.7187,7.13,99,100,2.32,SJ,1691788248
52,ishpeming,46.4885,-87.6676,18.3,97,100,3.86,US,1691788248
53,tchintabaraden,15.8969,5.7985,27.78,69,100,2.32,NE,1691788248
54,myitkyina,25.3833,97.4,24.13,99,100,0.55,MM,1691788097
55,selfoss,63.9331,-20.9971,15.02,83,100,2.62,IS,1691788249
56,namibe,-15.1961,12.1522,16.05,88,23,4.04,AO,1691788249
57,tommot,58.9564,126.2925,17.29,88,100,1.96,RU,1691788249
58,cabo san lucas,22.8909,-109.9124,35.34,67,10,2.35,MX,1691787673
59,rosarito,32.3333,-117.0333,27.73,73,36,4.96,MX,1691788249
60,wailua homesteads,22.0669,-159.378,29.44,74,40,6.17,US,1691788254
61,minas de marcona,-15.2119,-75.1103,14.84,76,26,7.29,PE,1691788229
62,sabha,27.0377,14.4283,29.42,25,0,4.31,LY,1691788255
63,harper,4.375,-7.7169,24.18,83,99,4.56,LR,1691788255
64,bethel,41.3712,-73.414,29.33,54,20,3.6,US,1691788255
65,la'ie,21.6477,-157.9253,30.98,66,33,6.84,US,1691788001
66,sinabang,2.4803,96.3801,25.5,85,53,0.82,ID,1691788255
67,mao,39.8885,4.2658,24.31,88,0,3.6,ES,1691788255
68,dompu,-8.5356,118.4622,20.49,95,7,1.14,ID,1691788256
69,xiaoweizhai,26.1903,107.5125,21.66,97,98,0.62,CN,1691788256
70,praia da vitoria,38.7333,-27.0667,24.31,81,15,3.24,PT,1691788256
71,hawaiian paradise park,19.5933,-154.9731,26.13,91,100,3.6,US,1691788256
72,puerto ayora,-0.7393,-90.3518,28.98,91,78,4.02,EC,1691788256
73,blackmans bay,-43.0167,147.3167,7.51,95,98,3.47,AU,1691788257
74,mar del plata,-38.0023,-57.5575,11.16,62,16,4.02,AR,1691788015
75,constitucion,-35.3333,-72.4167,12.15,62,42,7.21,CL,1691788257
76,papatowai,-46.5619,169.4708,5.37,75,100,2.35,NZ,1691788258
77,badger,64.8,-147.5333,21.66,64,40,0.45,US,1691788258
78,bredasdorp,-34.5322,20.0403,11.41,89,14,0.95,ZA,1691788258
79,beyneu,45.3167,55.2,30.08,22,0,1.64,KZ,1691788258
80,mount isa,-20.7333,139.5,7.87,87,40,0.0,AU,1691788258
81,geraldton,-28.7667,114.6,10.23,93,100,2.57,AU,1691788259
82,longyearbyen,78.2186,15.6401,9.91,93,100,0.0,SJ,1691788259
83,suva,-18.1416,178.4415,21.71,73,75,2.57,FJ,1691788259
84,port mathurin,-19.6833,63.4167,22.91,81,3,10.7,MU,1691788259
85,bilibino,68.0546,166.4372,14.34,56,53,0.98,RU,1691788259
86,pisco,-13.7,-76.2167,22.03,64,40,8.75,PE,1691788259
87,beipiao,41.7919,120.7792,20.6,86,100,1.88,CN,1691788260
88,zabol,32.25,67.25,24.34,19,20,5.2,AF,1691788260
89,konstantinovskoye,45.2992,42.6367,27.94,44,56,4.94,RU,1691788260
90,cheremukhovo,60.3484,59.9851,10.38,82,9,1.86,RU,1691788262
91,talnakh,69.4865,88.3972,7.34,75,29,8.98,RU,1691788263
92,tolanaro,-25.0319,46.9987,15.22,80,0,2.29,MG,1691788263
93,port alfred,-33.5906,26.891,20.29,48,0,3.87,ZA,1691788263
94,kingston,17.997,-76.7936,31.25,68,100,2.24,JM,1691788044
95,peace river,56.2501,-117.286,21.66,52,100,4.38,CA,1691788266
96,grand falls-windsor,48.9332,-55.6649,21.39,86,100,0.78,CA,1691788270
97,tazovsky,67.4667,78.7,3.92,56,0,10.3,RU,1691788275
98,ust'-ilimsk,58.0006,102.6619,14.35,69,100,1.35,RU,1691788278
99,gaigeturi,33.4644,126.3183,26.56,72,100,1.3,KR,1691788279
100,mahina,-17.5065,-149.489,26.87,61,75,2.06,PF,1691788279
101,tosontsengel,48.7567,98.2839,10.72,81,66,1.04,MN,1691788279
102,port lincoln,-34.7333,135.8667,11.99,85,100,5.05,AU,1691788279
103,panaba,21.2833,-88.2667,35.0,47,42,9.28,MX,1691788279
104,atafu village,-8.5421,-172.5159,28.28,62,41,5.51,TK,1691788280
105,santa terezinha,-29.9002,-50.0904,18.97,92,70,2.66,BR,1691788280
106,sungailiat,-1.85,106.1333,25.63,82,23,4.72,ID,1691788280
107,fale old settlement,-9.3852,-171.2468,28.05,67,20,5.85,TK,1691788280
108,flying fish cove,-10.4217,105.6791,23.82,88,75,4.63,CX,1691788281
109,saguenay,48.4168,-71.0657,15.95,95,99,2.99,CA,1691788142
110,arteche,12.2645,125.4048,25.57,90,100,2.98,PH,1691788281
111,balabac,7.9868,117.0645,26.93,81,58,4.11,PH,1691788281
112,vallenar,-28.5708,-70.7581,24.22,15,0,3.09,CL,1691788281
113,manggar,-2.8833,108.2667,25.94,77,99,4.59,ID,1691788282
114,guerrero negro,27.9769,-114.0611,25.17,66,47,8.53,MX,1691788282
115,ust-nera,64.5667,143.2,19.21,51,1,1.34,RU,1691788282
116,poronaysk,49.2167,143.1167,14.08,93,100,3.1,RU,1691788282
117,prado,-17.3411,-39.2208,22.73,83,54,3.43,BR,1691788260
118,salawagan,7.7053,125.115,21.96,98,94,0.76,PH,1691788283
119,cartagena,10.3997,-75.5144,29.79,84,75,8.75,CO,1691787916
120,zaoyang,32.1272,112.7542,24.75,87,99,2.72,CN,1691788283
121,mount gambier,-37.8333,140.7667,9.38,98,100,2.44,AU,1691788283
122,hsinchu,24.8036,120.9686,27.7,93,97,0.89,TW,1691788283
123,kogalym,62.2654,74.4791,7.98,59,6,9.18,RU,1691788283
124,santa maria de cayon,43.3079,-3.8756,22.28,93,20,0.0,ES,1691788284
125,meadow lake,34.8014,-106.5436,34.11,28,88,2.75,US,1691788283
126,utrik,11.2278,169.8474,28.45,77,12,8.1,MH,1691788284
127,richards bay,-28.783,32.0377,17.0,69,0,4.73,ZA,1691788284
128,pao de acucar,-9.7483,-37.4367,22.99,88,51,4.49,BR,1691788284
129,dolinsk,47.35,142.8,14.01,93,100,2.37,RU,1691788284
130,las khorey,11.1595,48.1967,31.36,61,38,2.36,SO,1691788285
131,san patricio,28.017,-97.5169,38.42,43,0,8.97,US,1691788285
132,crane,31.3974,-102.3501,40.27,18,5,3.59,US,1691788285
133,santa rosa,14.3122,121.1114,27.26,88,94,2.22,PH,1691788285
134,bay roberts,47.5999,-53.2648,20.08,91,100,3.13,CA,1691788285
135,smithers,54.7804,-127.1743,16.18,77,75,2.57,CA,1691788286
136,bubaque,11.2833,-15.8333,26.66,83,85,8.1,GW,1691788286
137,vernon,50.2581,-119.2691,29.61,27,53,0.45,CA,1691788286
138,kingscliff,-28.2667,153.5667,10.89,93,15,2.06,AU,1691788286
139,klyuchi,52.2667,79.1667,13.91,83,100,2.77,RU,1691788286
140,wanxian,30.8039,108.3897,27.44,89,100,0.93,CN,1691788286
141,okha,53.5739,142.9478,13.94,94,94,3.72,RU,1691788287
142,chibougamau,49.9168,-74.3659,15.79,88,100,4.12,CA,1691788287
143,auki,-8.7676,160.7034,25.34,87,61,4.23,SB,1691788287
144,hamilton,39.1834,-84.5333,31.23,59,75,6.17,US,1691787862
145,san luis de la loma,17.2706,-100.8939,31.71,64,39,4.51,MX,1691788287
146,tshikapa,-6.4167,20.8,26.15,30,4,0.58,CD,1691788287
147,ataq,14.5377,46.8319,24.2,55,100,10.81,YE,1691788288
148,kodiak,57.79,-152.4072,13.73,88,100,3.6,US,1691788288
149,dikwa,12.024,13.9165,28.27,65,100,2.43,NG,1691788288
150,nemuro,43.3236,145.575,14.87,92,100,6.49,JP,1691788288
151,lepsy,46.235,78.9456,20.4,67,94,5.62,KZ,1691788289
152,kailua-kona,19.6406,-155.9956,28.98,80,40,5.14,US,1691788289
153,nantucket,41.2835,-70.0995,28.03,67,0,8.23,US,1691788053
154,new plymouth,-39.0667,174.0833,10.45,82,100,1.63,NZ,1691788289
155,formosa,-26.1775,-58.1781,24.42,67,87,1.34,AR,1691788289
156,qaqortoq,60.7167,-46.0333,9.4,69,1,1.69,GL,1691788289
157,mejit,10.2753,170.8646,28.27,73,89,8.09,MH,1691788290
158,kupang,-10.1667,123.5833,22.92,79,72,4.73,ID,1691788290
159,tibro,58.4245,14.1616,13.2,85,9,1.34,SE,1691788290
160,lompoc,34.6391,-120.4579,29.27,74,40,4.63,US,1691788290
161,gracemere,-23.4333,150.45,8.95,87,0,0.0,AU,1691788290
162,vila vicosa,38.7777,-7.4179,29.82,54,0,6.17,PT,1691788007
163,iwanai,42.9744,140.5089,21.66,92,4,1.97,JP,1691788291
164,mawlaik,23.6333,94.4167,24.16,100,100,0.75,MM,1691788291
165,new norfolk,-42.7826,147.0587,8.17,88,94,2.85,AU,1691788291
166,yoko,5.5333,12.3167,18.7,98,37,0.62,CM,1691788291
167,mount pleasant,32.7941,-79.8626,31.1,73,0,1.79,US,1691788079
168,vilyuysk,63.7553,121.6247,17.55,77,100,3.58,RU,1691788291
169,tiksi,71.6872,128.8694,7.82,83,100,4.93,RU,1691788292
170,vorgashor,67.5833,63.95,5.25,77,3,2.69,RU,1691788292
171,villa mercedes,-33.6757,-65.4578,13.12,19,84,4.85,AR,1691787996
172,karratha,-20.7377,116.8463,20.24,52,4,2.72,AU,1691788292
173,lorengau,-2.0226,147.2712,27.16,80,89,6.42,PG,1691788292
174,murzuq,25.9155,13.9184,30.22,22,0,5.94,LY,1691788292
175,san antonio de pale,-1.4014,5.6325,24.06,87,42,4.17,GQ,1691788293
176,half moon bay,37.4636,-122.4286,31.44,69,100,6.69,US,1691788293
177,uvel'skiy,54.4446,61.3574,11.25,77,11,3.77,RU,1691788293
178,ati,13.2154,18.3353,30.39,58,100,2.84,TD,1691788293
179,hermanus,-34.4187,19.2345,11.56,90,6,1.45,ZA,1691788293
180,palangkaraya,-2.2,113.8333,21.12,91,100,0.91,ID,1691788154
181,nizao,18.25,-70.2,33.04,63,53,4.99,DO,1691788294
182,tralee,52.2704,-9.7026,15.77,88,99,5.82,IE,1691788294
183,veshenskaya,49.6303,41.7334,28.08,28,22,8.41,RU,1691788294
184,thunder bay,48.4001,-89.3168,13.42,97,100,5.31,CA,1691788294
185,bamboo flat,11.7,92.7167,27.51,82,100,6.87,IN,1691788294
186,granja,-3.1203,-40.8261,27.64,60,31,3.63,BR,1691788273
187,ola,59.5833,151.2833,13.59,84,57,1.1,RU,1691788295
188,west bay,19.3667,-81.4167,32.25,79,40,4.12,KY,1691788295
189,ugoofaaru,5.6667,73.0,27.52,77,99,5.78,MV,1691788295
190,acapulco de juarez,16.8634,-99.8901,31.9,62,75,5.14,MX,1691788179
191,katsuura,35.1333,140.3,25.47,90,16,3.16,JP,1691788295
192,berezovyy,51.6667,135.7,17.05,75,98,0.73,RU,1691788295
193,borovskoy,53.8,64.15,14.61,59,67,2.62,KZ,1691788296
194,queenstown,-31.8976,26.8753,12.81,39,4,2.38,ZA,1691788296
195,egilsstadir,65.2653,-14.3948,9.95,87,75,5.66,IS,1691788296
196,ilulissat,69.2167,-51.1,11.01,71,75,0.51,GL,1691788296
197,margaret river,-33.95,115.0667,10.78,80,99,3.82,AU,1691788296
198,revda,56.801,59.9303,10.71,83,12,1.53,RU,1691788296
199,prince rupert,54.3161,-130.3201,15.05,100,100,1.54,CA,1691788189
200,quillacollo,-17.4,-66.2833,23.04,17,75,3.6,BO,1691788297
201,petropavlovsk-kamchatsky,53.0452,158.6483,12.1,87,0,3.0,RU,1691788297
202,camana,-16.6228,-72.7111,17.81,82,48,4.45,PE,1691788297
203,aasiaat,68.7098,-52.8699,3.76,93,89,2.36,GL,1691788297
204,la sarre,48.8002,-79.1996,21.32,43,63,2.67,CA,1691788299
205,springbok,-29.6643,17.8865,10.83,87,8,0.86,ZA,1691788299
206,keflavik,64.0049,-22.5624,13.95,88,75,3.6,IS,1691788299
207,avarua,-21.2078,-159.775,26.03,83,100,4.12,CK,1691788300
208,nar'yan-mar,67.6713,53.087,15.28,61,4,2.94,RU,1691788300
209,bereznik,62.8551,42.7072,19.24,81,6,2.16,RU,1691788300
210,juegang,32.3174,121.1855,27.73,91,66,3.22,CN,1691788300
211,opuwo,-18.0607,13.84,17.87,33,0,3.2,NA,1691788300
212,carnarvon,-24.8667,113.6333,18.8,86,2,3.55,AU,1691788275
213,lazaro cardenas,17.9583,-102.2,31.12,67,71,5.37,MX,1691788301
214,al kharijah,25.4514,30.5464,28.5,26,0,3.72,EG,1691788301
215,horta,38.5333,-28.6333,23.34,85,36,3.58,PT,1691788301
216,dunedin,-45.8742,170.5036,6.56,60,100,4.02,NZ,1691788301
217,xining,36.6167,101.7667,12.44,88,4,1.38,CN,1691788301
218,happy valley-goose bay,53.3168,-60.3315,14.81,70,70,2.82,CA,1691788302
219,midvagur,62.0511,-7.1939,12.46,94,100,4.63,FO,1691788302
220,leer,53.2316,7.461,20.53,90,100,1.66,DE,1691788302
221,masterton,-40.9597,175.6575,7.16,84,62,0.4,NZ,1691788302
222,saipan,15.1355,145.701,27.39,100,40,3.6,MP,1691788302
223,stanley,54.868,-1.6985,16.55,76,0,3.09,GB,1691788302
224,hauterive,46.0901,3.4459,27.42,66,22,1.68,FR,1691788303
225,west island,-12.1568,96.8225,24.99,83,75,7.2,CC,1691788303
226,ierapetra,35.01,25.7353,26.75,59,0,3.13,GR,1691788303
227,belmonte,-15.8631,-38.8828,22.81,81,27,3.3,BR,1691788303
228,lloydminster,53.2835,-110.0016,18.12,59,75,7.72,CA,1691788303
229,xichang,27.8964,102.2634,20.54,95,100,0.68,CN,1691788303
230,taggia,43.8485,7.8545,26.34,65,6,1.56,IT,1691788304
231,sokcho,38.2083,128.5911,22.92,84,100,1.38,KR,1691788304
232,nova sintra,14.8667,-24.7167,23.03,73,58,0.61,CV,1691788304
233,lihue,21.9789,-159.3672,29.77,68,40,6.17,US,1691788304
234,sanctuary point,-35.1114,150.629,10.11,72,98,2.84,AU,1691788304
235,bhainsdehi,21.6467,77.6325,20.8,90,69,2.28,IN,1691788038
236,orange,33.7,-117.7675,32.09,69,20,3.6,US,1691788304
237,labytnangi,66.6572,66.4183,6.82,75,100,1.8,RU,1691788305
238,mitu,1.1983,-70.1733,30.94,58,84,1.23,CO,1691788305
239,gandu,-13.7439,-39.4867,21.39,78,64,1.73,BR,1691788305
240,walvis bay,-22.9575,14.5053,14.49,84,41,2.85,NA,1691788305
241,banda aceh,5.5577,95.3222,26.27,81,100,5.04,ID,1691788305
242,l'govskiy,51.6307,35.2775,19.14,93,100,6.23,RU,1691788305
243,sipalay,9.75,122.5,25.69,90,99,2.45,PH,1691788306
244,djibo,14.1022,-1.6306,29.97,59,74,3.31,BF,1691788306
245,tocoa,15.6833,-86.0,33.95,52,21,2.86,HN,1691788306
246,fort bragg,35.139,-79.006,31.92,55,100,3.09,US,1691788306
247,alofi,-19.0595,-169.9187,25.08,85,97,4.91,NU,1691788306
248,sekong,-6.3996,106.0252,22.12,92,59,0.24,ID,1691788306
249,constantia,44.1833,28.65,22.61,52,5,5.85,RO,1691788307
250,la passe,45.5549,-0.8967,23.13,90,1,3.43,FR,1691788307
251,mil'kovo,55.6078,37.7956,22.22,84,100,1.78,RU,1691788307
252,campo gallo,-26.5833,-62.85,26.21,34,39,4.7,AR,1691788307
253,kapshagay,43.8833,77.0833,22.45,50,83,2.16,KZ,1691788307
254,sassandra,4.95,-6.0833,23.25,88,74,2.9,CI,1691788307
255,laojunmiao,39.8333,97.7333,21.44,36,4,3.08,CN,1691788307
256,holualoa,19.6228,-155.9522,26.91,80,40,5.14,US,1691788308
257,alice springs,-23.7,133.8833,12.9,53,0,25.48,AU,1691788263
258,fort st. john,56.2499,-120.8529,21.03,38,100,3.15,CA,1691788308
259,karasu,41.071,30.7854,21.84,86,38,3.09,TR,1691788308
260,mount pearl,47.5166,-52.7813,19.42,89,100,4.63,CA,1691788308
261,baharly,38.4362,57.4316,28.93,24,0,1.33,TM,1691788308
262,port douglas,-16.4833,145.4667,20.78,75,59,5.77,AU,1691788308
263,kavaratti,10.5669,72.642,28.02,74,100,7.74,IN,1691788309
264,dudinka,69.4058,86.1778,7.57,45,14,12.89,RU,1691788309
265,vytegra,61.0064,36.4481,17.4,95,89,1.8,RU,1691788309
266,phan rang-thap cham,11.5667,108.9833,25.39,84,36,1.95,VN,1691788309
267,kottapalli,18.4833,79.1,24.44,85,70,2.2,IN,1691788309
268,jayapura,-2.5333,140.7,24.66,92,85,1.73,ID,1691788188
269,three points,32.0767,-111.3137,37.01,26,20,0.69,US,1691788310
270,ituiutaba,-18.9689,-49.465,29.35,24,76,1.42,BR,1691788107
271,fisterra,42.9049,-9.2629,21.53,95,69,3.51,ES,1691788310
272,sao felix do xingu,-6.6447,-51.995,33.15,30,5,1.47,BR,1691788217
273,burnie,-41.0667,145.9167,9.69,85,96,5.17,AU,1691788309
274,antsiranana,-12.2787,49.2917,22.24,82,1,5.66,MG,1691788310
275,tofol,5.3248,163.0078,27.97,73,32,3.2,FM,1691788310
276,longmen,24.9597,118.0889,24.11,97,78,0.26,CN,1691788310
277,enewetak,11.3474,162.3373,28.13,76,89,6.7,MH,1691788311
278,punta arenas,-53.15,-70.9167,3.8,72,43,6.98,CL,1691788311
